date,day_of_week,expiry_type,chart,sensex_open,sensex_high,sensex_low,sensex_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy
2025-02-11,Tuesday,weekly,█↓▁↑█↓▂ 📉,77384.98,77387.28,76030.59,76293.6,14.45,14.87,0.78,1.75,-1.41,0.0,-1.75,2.25,0.97,Underestimated
2025-02-18,Tuesday,weekly,█↓▁↑█↓▆ 📉,76073.71,76091.69,75531.01,75967.39,15.72,15.67,0.82,0.74,-0.14,0.02,-0.71,0.9,-0.08,Overestimated
2025-02-25,Tuesday,monthly,▂↓▁↑█↓▅ 📈,74440.3,74785.08,74400.37,74602.12,14.44,13.72,0.72,0.52,0.22,0.46,-0.05,0.72,-0.2,Overestimated
2025-03-04,Tuesday,weekly,▄↓▁↑█↓▇ 📈,72817.34,73033.18,72633.54,72989.93,13.76,13.83,0.72,0.55,0.24,0.3,-0.25,0.76,-0.18,Overestimated
2025-03-11,Tuesday,weekly,▂↓▁↑█↓▇ 📈,73743.88,74195.17,73663.6,74102.32,13.99,14.07,0.74,0.72,0.49,0.61,-0.11,0.98,-0.02,Overestimated
2025-03-18,Tuesday,weekly,▂↓▁↑█↓▇ 📈,74608.66,75385.76,74480.15,75301.26,13.42,13.21,0.69,1.21,0.93,1.04,-0.17,1.76,0.52,Underestimated
2025-03-25,Tuesday,monthly,▅↓▁↑█↓▃ 📉,78296.28,78741.69,77745.63,78017.19,13.7,13.64,0.71,1.27,-0.36,0.57,-0.7,1.78,0.56,Underestimated
2025-04-01,Tuesday,weekly,▅↓▁↑█↓▁ 📉,76882.58,77487.05,75912.18,76024.51,12.72,13.78,0.72,2.05,-1.12,0.79,-1.26,2.84,1.33,Underestimated
2025-04-08,Tuesday,weekly,▄↓▁↑█↓▅ 📈,74013.73,74859.39,73424.92,74227.08,22.79,20.44,1.07,1.94,0.29,1.14,-0.8,1.81,0.87,Underestimated
2025-04-15,Tuesday,weekly,▇↓▁↑█↓▅ 📉,76852.06,76907.63,76435.07,76734.89,20.11,16.13,0.84,0.61,-0.15,0.07,-0.54,0.73,-0.23,Overestimated
2025-04-22,Tuesday,weekly,▇↓▁↑█↓▅ 📉,79728.39,79824.3,79253.44,79595.59,15.52,15.23,0.8,0.72,-0.17,0.12,-0.6,0.9,-0.08,Overestimated
