date,day_of_week,expiry_type,csv_move_direction,afternoon_direction,concordance,vix_open,vix_close,vix_bucket,t1_fii_stance,t1_pro_stance,fii_composite,fii_view,pro_composite,pro_view,price_at_2pm,session_close,inflection_time,inflection_price,move_from_inflection_pct,move_from_2pm_pct
2022-05-05,Thursday,weekly,Top to Down,Top to Down,Match,21.88,20.29,High (>20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Mildly Bearish,-87722,Bearish,-279975,Strong Bearish,16750.5,16669.2,14:00,16752.4,0.497,0.485
2022-05-12,Thursday,weekly,Top to Down,Down to Up,Mismatch,22.8,24.27,High (>20),FII Bearish (sold fut >10K),PRO Confident (sold puts >20K),25834,Neutral,51528,Bullish,15817.5,15826.45,14:35,15737.35,0.566,0.057
2022-05-19,Thursday,weekly,Top to Down,Top to Down,Match,22.3,24.56,High (>20),FII Hedging (bought puts >20K),PRO Mildly Bearish,-53155,Bearish,-251996,Strong Bearish,15850.6,15828.45,14:00,15856.2,0.175,0.14
2022-05-26,Thursday,monthly,Down to Up,Down to Up,Match,25.28,22.72,High (>20),FII Mildly Bullish,PRO Confident (sold puts >20K),-48355,Mildly Bearish,-107863,Strong Bearish,16094.2,16201.55,14:05,16063.8,0.858,0.667
2022-06-02,Thursday,weekly,Down to Up,Down to Up,Match,20.85,20.32,High (>20),FII Bearish (sold fut >10K),PRO Confident (sold puts >20K),-60617,Bearish,-1875,Neutral,16610.7,16637.4,15:00,16596.05,0.249,0.161
2022-06-09,Thursday,weekly,Down to Up,Down to Up,Match,19.84,19.14,Medium (15-20),FII Confident (sold puts >20K),PRO Confident (sold puts >20K),-13150,Neutral,-87737,Bearish,16373.0,16481.8,14:00,16368.4,0.693,0.665
2022-06-16,Thursday,weekly,Top to Down,Top to Down,Match,22.15,22.87,High (>20),FII Neutral,PRO Confident (sold puts >20K),12165,Neutral,48133,Mildly Bullish,15454.8,15348.2,14:00,15456.35,0.7,0.69
2022-06-23,Thursday,weekly,Down to Up,Down to Up,Match,21.3,20.88,High (>20),FII Hedging (bought puts >20K),PRO Hedging (bought puts >20K),-5458,Neutral,-185492,Strong Bearish,15571.3,15577.55,14:25,15494.5,0.536,0.04
2022-06-30,Thursday,monthly,Down to Up,Top to Down,Mismatch,21.9,21.84,High (>20),FII Bearish (sold fut >10K),PRO Mildly Bullish,3597,Neutral,-71895,Bearish,15812.55,15735.9,14:20,15852.4,0.735,0.485
2022-07-07,Thursday,weekly,Down to Up,Down to Up,Match,20.27,19.2,High (>20),FII Bullish (bought fut + sold puts),PRO Bearish (sold fut >10K),82142,Bullish,447691,Strong Bullish,16106.15,16136.85,14:15,16047.05,0.56,0.191
