Date,fii_fut_idx_net,fii_call_net,fii_put_net,FII_Direction,DII_Direction,Pro_Direction,Client_Direction,Nifty_Close,Nifty_Change_Pct,Market_Direction,FII_Correct
2026-01-12,-193409,-5534,266038,Bullish,Neutral,Bullish,Bearish,25790.25,-0.22,Bearish,Incorrect
2026-01-13,-197655,-32983,281756,Neutral,Bullish,Bullish,Neutral,25732.30078125,-0.26,Bearish,
2026-01-14,-199134,-53113,270948,Neutral,Bullish,Bullish,Bearish,25665.599609375,0.11,Bullish,
2026-01-16,-190375,741,318813,Bullish,Neutral,Neutral,Neutral,25694.349609375,-0.42,Bearish,Incorrect
2026-01-19,-193097,-28364,301966,Neutral,Bullish,Neutral,Neutral,25585.5,-1.38,Bearish,
2026-01-20,-201567,-60114,309239,Neutral,Neutral,Bearish,Neutral,25232.5,-0.3,Bearish,
2026-01-21,-204722,-116655,307482,Bearish,Neutral,Neutral,Bearish,25157.5,0.53,Bullish,Incorrect
2026-01-22,-216200,-106131,290474,Neutral,Bullish,Neutral,Neutral,25289.900390625,-0.95,Bearish,
2026-01-23,-227533,-29006,340536,Bullish,Bullish,Neutral,Neutral,25048.650390625,0.51,Bullish,Correct
2026-01-27,-175625,-104758,342872,Neutral,Bullish,Bullish,Bearish,25175.400390625,0.66,Bullish,
2026-01-28,-174555,-132270,361381,Neutral,Neutral,Bullish,Neutral,25342.75,0.3,Bullish,
2026-01-29,-185548,-132312,338311,Bullish,Bullish,Bullish,Bearish,25418.900390625,-0.39,Bearish,Incorrect
2026-01-30,-193822,-110292,388654,Neutral,Bullish,Bearish,Neutral,25320.650390625,-0.92,Bearish,
2026-02-02,-197139,-174265,418965,Neutral,Neutral,Neutral,Neutral,25088.400390625,2.55,Bullish,
2026-02-03,-157452,-93770,291050,Bullish,Bullish,Bullish,Bearish,25727.55078125,0.19,Bullish,Correct
2026-02-04,-147316,-67959,233915,Bullish,Bullish,Bullish,Bearish,25776.0,-0.52,Bearish,Incorrect
2026-02-05,-144022,-72743,293863,Neutral,Neutral,Bearish,Neutral,25642.80078125,0.2,Bullish,
2026-02-06,-150250,-30696,316908,Bullish,Bullish,Neutral,Bearish,25693.69921875,0.68,Bullish,Correct
2026-02-09,-145919,20560,293152,Bullish,Bullish,Bearish,Neutral,25867.30078125,0.26,Bullish,Correct
2026-02-10,-133614,19747,259419,Bullish,Neutral,Neutral,Bearish,25935.150390625,0.07,Bullish,Correct
2026-02-11,-132215,11043,224432,Bullish,Neutral,Bearish,Bearish,25953.849609375,-0.57,Bearish,Incorrect
2026-02-12,-133207,-15971,245892,Neutral,Neutral,Bearish,Neutral,25807.19921875,-1.3,Bearish,
2026-02-13,-147573,27707,371000,Neutral,Bullish,Neutral,Neutral,25471.099609375,0.83,Bullish,
2026-02-16,-145138,35902,328328,Bullish,Bullish,Bullish,Bearish,25682.75,0.17,Bullish,Correct
2026-02-17,-141258,29358,301378,Bullish,Bullish,Neutral,Bearish,25725.400390625,0.37,Bullish,Correct
2026-02-18,-134594,33910,267011,Bullish,Neutral,Neutral,Bearish,25819.349609375,-1.41,Bearish,Incorrect
2026-02-19,-137872,-23592,337685,Neutral,Neutral,Neutral,Neutral,25454.349609375,0.46,Bullish,
2026-02-20,-133664,60555,304887,Bullish,Neutral,Bullish,Bearish,25571.25,0.55,Bullish,Correct
2026-02-23,-129085,49883,333798,Neutral,Neutral,Neutral,Neutral,25713.0,-1.12,Bearish,
2026-02-24,-106071,-60371,308272,Neutral,Bullish,Bearish,Neutral,25424.650390625,0.23,Bullish,
2026-02-25,-104481,-68648,292492,Bullish,Neutral,Bearish,Neutral,25482.5,0.06,Bullish,Correct
2026-02-26,-102980,-86756,297815,Neutral,Neutral,Neutral,Neutral,25496.55078125,-1.25,Bearish,
2026-02-27,-124368,-85157,383150,Neutral,Bullish,Neutral,Neutral,25178.650390625,-1.24,Bearish,
2026-03-02,-144473,-59338,365136,Bullish,Bullish,Neutral,Bearish,24865.69921875,-1.55,Bearish,Incorrect
2026-03-04,-163713,-79182,343229,Neutral,Neutral,Neutral,Neutral,24480.5,1.17,Bullish,
2026-03-05,-161848,-122756,364674,Neutral,Bullish,Neutral,Neutral,24765.900390625,-1.27,Bearish,
2026-03-06,-174291,-174445,453015,Neutral,Bullish,Neutral,Neutral,24450.44921875,-1.73,Bearish,
2026-03-09,-193902,-157826,395449,Bullish,Bullish,Neutral,Bearish,24028.05078125,0.97,Bullish,Correct
2026-03-10,-187070,-128883,416387,Bullish,Neutral,Neutral,Bearish,24261.599609375,-1.63,Bearish,Incorrect
2026-03-11,-206301,-184967,452737,Neutral,Bullish,Bearish,Neutral,23866.849609375,-0.95,Bearish,
2026-03-12,-226327,-214420,412249,Bearish,Bullish,Neutral,Bearish,23639.150390625,-2.06,Bearish,Correct
2026-03-13,-260540,-260556,455524,Bearish,Bullish,Bullish,Neutral,23151.099609375,1.11,Bullish,Incorrect
2026-03-16,-248769,-244680,426100,Neutral,Bullish,Neutral,Bearish,23408.80078125,0.74,Bullish,
2026-03-17,-240775,-164648,388744,Neutral,Neutral,Neutral,Neutral,23581.150390625,0.83,Bullish,
2026-03-18,-225797,-175211,374348,Neutral,Neutral,Neutral,Neutral,23777.80078125,-3.26,Bearish,
2026-03-19,-228952,-223504,414041,Bearish,Neutral,Bearish,Neutral,23002.150390625,0.49,Bullish,Incorrect
2026-03-20,-234508,-248220,439696,Bearish,Neutral,Bullish,Neutral,23114.5,-2.6,Bearish,Correct
2026-03-23,-243961,-254875,439270,Bearish,Bullish,Bearish,Bullish,22512.650390625,1.78,Bullish,Incorrect
2026-03-24,-248712,-263791,421071,Neutral,Bullish,Neutral,Neutral,22912.400390625,1.72,Bullish,
2026-03-25,-238126,-221482,402079,Neutral,Bullish,Neutral,Bearish,23306.44921875,-2.09,Bearish,
2026-03-27,-279467,-210546,408479,Bearish,Bullish,Neutral,Neutral,22819.599609375,-2.14,Bearish,Correct
2026-03-30,-264046,-232437,363572,Neutral,Bullish,Neutral,Neutral,22331.400390625,1.56,Bullish,
2026-04-01,-264821,-254390,356314,Bearish,Bullish,Bullish,Neutral,22679.400390625,0.15,Bullish,Incorrect
2026-04-02,-268020,-249557,324386,Neutral,Bullish,Bullish,Bearish,22713.099609375,1.12,Bullish,
2026-04-06,-268462,-232653,317928,Neutral,Neutral,Bullish,Bearish,22968.25,0.68,Bullish,
2026-04-07,-259435,-206744,320809,Neutral,Neutral,Neutral,Neutral,23123.650390625,3.78,Bullish,
2026-04-08,-227400,-194807,288492,Neutral,Neutral,Bullish,Neutral,23997.349609375,-0.93,Bearish,
2026-04-09,-227718,-225152,331713,Bearish,Neutral,Neutral,Neutral,23775.099609375,1.16,Bullish,Incorrect
2026-04-10,-206227,-178598,333261,Neutral,Neutral,Bullish,Bearish,24050.599609375,-0.86,Bearish,
2026-04-13,-208354,-150994,341221,Neutral,Bullish,Bullish,Bearish,23842.650390625,1.63,Bullish,
2026-04-15,-200718,-165059,325646,Neutral,Bullish,Neutral,Neutral,24231.30078125,-0.14,Bearish,
2026-04-16,-198989,-215666,371041,Bearish,Neutral,Neutral,Neutral,24196.75,0.65,Bullish,Incorrect
2026-04-17,-190953,-140697,321945,Neutral,Neutral,Bullish,Bearish,24353.55078125,0.05,Bullish,
2026-04-20,-189761,-180010,296845,Bearish,Neutral,Neutral,Neutral,24364.849609375,0.87,Bullish,Incorrect
2026-04-21,-173948,-131313,300331,Neutral,Neutral,Bullish,Bearish,24576.599609375,-0.81,Bearish,
2026-04-22,-183314,-208551,345946,Bearish,Bullish,Neutral,Neutral,24378.099609375,-0.84,Bearish,Correct
2026-04-23,-190914,-246860,375470,Bearish,Neutral,Neutral,Neutral,24173.05078125,-1.14,Bearish,Correct
2026-04-24,-204079,-226750,383812,Bearish,Neutral,Neutral,Neutral,23897.94921875,0.81,Bullish,Incorrect
2026-04-27,-205981,-204579,327754,Neutral,Neutral,Bullish,Bearish,24092.69921875,-0.4,Bearish,
2026-04-28,-170678,-201818,343512,Neutral,Neutral,Neutral,Neutral,23995.69921875,0.76,Bullish,
2026-04-29,-171058,-216058,333151,Bearish,Bullish,Bullish,Bearish,24177.650390625,-0.74,Bearish,Correct
2026-04-30,-184476,-220338,359365,Bearish,Neutral,Neutral,Neutral,23997.55078125,0.51,Bullish,Incorrect
2026-05-04,-192572,-186566,351232,Neutral,Neutral,Neutral,Neutral,24119.30078125,-0.36,Bearish,
2026-05-05,-198133,-207484,382291,Bearish,Neutral,Bullish,Bearish,24032.80078125,1.24,Bullish,Incorrect
2026-05-06,-194595,-190420,356403,Neutral,Bullish,Bullish,Bearish,24330.94921875,-0.02,Bearish,
2026-05-07,-195948,-256900,378186,Bearish,Bullish,Neutral,Neutral,24326.650390625,-0.62,Bearish,Correct
2026-05-08,-210112,-250134,385953,Bearish,Bullish,Neutral,Neutral,24176.150390625,-1.49,Bearish,Correct
2026-05-11,-220969,-298757,412595,Bearish,Neutral,Neutral,Neutral,23815.849609375,-1.83,Bearish,Correct
2026-05-12,-237144,-250003,475949,Bearish,Bullish,Neutral,Neutral,23379.55078125,0.14,Bullish,Incorrect
2026-05-13,-237874,-254012,444048,Neutral,Neutral,Bullish,Bearish,23412.599609375,1.18,Bullish,
2026-05-14,-225611,-232048,379629,Neutral,Neutral,Bullish,Bearish,23689.599609375,-0.19,Bearish,
2026-05-15,-216507,-256519,391241,Bearish,Neutral,Bullish,Neutral,23643.5,0.03,Bullish,Incorrect
2026-05-18,-209866,-214366,403164,Neutral,Neutral,Bullish,Bearish,23649.94921875,-0.14,Bearish,
2026-05-19,-216280,-205334,427803,Neutral,Bullish,Neutral,Neutral,23618.0,0.17,Bullish,
2026-05-20,-222520,-222156,378471,Neutral,Bullish,Bullish,Bearish,23659.0,-0.02,Bearish,
2026-05-21,-231190,-256062,414447,Bearish,Bullish,Neutral,Neutral,23654.69921875,0.27,Bullish,Incorrect
2026-05-22,-224992,-161949,393961,Bullish,Bullish,Bullish,Bearish,23719.30078125,1.32,Bullish,Correct
2026-05-25,-214977,-43834,355458,Bullish,Neutral,Bullish,Bearish,24031.69921875,-0.49,Bearish,Incorrect
2026-05-26,-152865,-200355,434742,Neutral,Bullish,Neutral,Neutral,23913.69921875,-0.03,Bearish,
2026-05-27,-163012,-207169,437410,Neutral,Neutral,Neutral,Neutral,23907.150390625,-1.5,Bearish,
2026-05-29,-201309,-270624,461686,Bearish,Bullish,Neutral,Neutral,23547.75,-0.7,Bearish,Correct
2026-06-01,-223180,-253687,494046,Neutral,Bullish,Neutral,Neutral,23382.599609375,0.43,Bullish,
2026-06-02,-230096,-279783,495102,Bearish,Neutral,Bullish,Bearish,23483.55078125,-0.33,Bearish,Correct
2026-06-03,-259253,-251345,538004,Neutral,Bullish,Bullish,Bearish,23405.599609375,0.05,Bullish,
2026-06-04,-264568,-273988,516866,Bearish,Bullish,Neutral,Neutral,23416.55078125,-0.21,Bearish,Correct
2026-06-05,-267706,-276059,530228,Bearish,Bullish,Bullish,Bearish,23366.69921875,-1.04,Bearish,Correct
2026-06-08,-277614,-293936,549435,Bearish,Bullish,Neutral,Neutral,23123.0,0.52,Bullish,Incorrect
2026-06-09,-277001,-266470,527058,Neutral,Bullish,Bullish,Bearish,23242.099609375,-0.12,Bearish,
2026-06-10,-271979,-277427,530987,Bearish,Bullish,Neutral,Neutral,23214.94921875,-0.23,Bearish,Correct
2026-06-11,-266983,-293925,537839,Bearish,Bullish,Bullish,Bearish,23161.599609375,1.99,Bullish,Incorrect
2026-06-12,-243623,-209020,542612,Bullish,Bullish,Bullish,Bearish,23622.900390625,0.98,Bullish,Correct
2026-06-15,-241241,-252327,545186,Neutral,Bullish,Neutral,Neutral,23853.900390625,0.57,Bullish,
2026-06-16,-229600,-232022,551288,Bullish,Neutral,Bullish,Bearish,23989.150390625,0.4,Bullish,Correct
2026-06-17,-224688,-263051,547474,Neutral,Neutral,Bullish,Bearish,24085.69921875,0.34,Bullish,
2026-06-18,-221476,-240679,562663,Bullish,Neutral,Bullish,Bearish,24168.0,-0.64,Bearish,Incorrect
2026-06-19,-226423,-300320,629690,Neutral,Bullish,Neutral,Neutral,24013.099609375,0.37,Bullish,
2026-06-22,-222784,-295482,646742,Neutral,Neutral,Bullish,Bearish,24102.900390625,-1.16,Bearish,
2026-06-23,-228561,-274993,672256,Neutral,Bullish,Bearish,Neutral,23824.099609375,0.83,Bullish,
2026-06-24,-229053,-290765,603410,Bullish,Bullish,Bullish,Bearish,24021.650390625,0.14,Bullish,Correct
2026-06-25,-223809,-259912,596646,Bullish,Neutral,Neutral,Neutral,24056.0,-0.46,Bearish,Incorrect
2026-06-29,-234451,-245372,616220,Neutral,Neutral,Neutral,Neutral,23946.25,-0.34,Bearish,
2026-06-30,-256410,-233098,532536,Bullish,Neutral,Neutral,Bearish,23865.75,0.59,Bullish,Correct
2026-07-01,-260059,-249120,505784,Neutral,Neutral,Bullish,Bearish,24005.849609375,0.71,Bullish,
2026-07-02,-256900,-224900,442042,Neutral,Bullish,Bullish,Bearish,24175.69921875,0.39,Bullish,
2026-07-03,-250767,-233473,477175,Bearish,Neutral,Neutral,Neutral,24270.849609375,0.66,Bullish,Incorrect
2026-07-06,-241279,-188653,457027,Bullish,Bullish,Bullish,Bearish,24430.349609375,-0.13,Bearish,Incorrect
2026-07-07,-238838,-188521,443783,Bullish,Bullish,Neutral,Neutral,24398.69921875,-2.12,Bearish,Incorrect
2026-07-08,-268586,-283151,546664,Bearish,Bullish,Neutral,Neutral,23882.05078125,0.34,Bullish,Incorrect
2026-07-09,-266251,-256228,524225,Bullish,Neutral,Bullish,Bearish,23962.80078125,1.02,Bullish,Correct
2026-07-10,-254711,-218611,478558,Bullish,Neutral,Bullish,Bearish,24206.900390625,0.02,Bullish,Correct
2026-07-13,-255113,-176174,454159,Bullish,Neutral,Neutral,Bearish,24211.0,-0.66,Bearish,Incorrect
2026-07-14,-265465,-179134,498324,Neutral,Neutral,Neutral,Neutral,24052.05078125,0.11,Bullish,
2026-07-15,-262712,-229394,500928,Neutral,Bullish,Bullish,Neutral,24078.5,-0.02,Bearish,
