date,day_of_week,expiry_type,chart,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy,move_direction,close_in_prev_range,prev_close_to_close_pct,fii_fut_idx_net,fii_call_net,fii_put_net,FII_Direction,DII_Direction,Pro_Direction,Client_Direction,Nifty_Close,Nifty_Change_Pct,Market_Direction,FII_Correct,t1_fii_fut_idx_net,t1_fii_call_net,t1_fii_put_net,t1_FII_Direction,fii_pcr,fii_net_sentiment,fii_put_change,is_blowout,fii_direction_matches_market,consensus_count,t1_fii_pcr,vix_change
2026-01-06,Tuesday,weekly,▄↓▁↑█↓▄ 📉,26189.7,26273.95,26124.75,26178.7,10.02,10.02,0.52,0.57,0.04,0.32,0.25,1.09,0.05,Overestimated,Top to Down,Yes,0.19,-127888,34403,218676,Bullish,Bullish,Bullish,Bearish,26178.69921875,-0.14,Bearish,Incorrect,-128023,-2053,211205,Neutral,6.356306136092782,-312161,-16388.0,0,0,1,102.87627861665855,0.0
2026-01-13,Tuesday,weekly,█↓▁↑█↓▄ 📉,25897.35,25899.8,25603.3,25732.3,11.37,11.2,0.6,1.14,0.64,0.01,1.14,1.92,0.55,Underestimated,Top to Down,No,-1.56,-197655,-32983,281756,Neutral,Bullish,Bullish,Neutral,25732.30078125,-0.26,Bearish,,-193409,-5534,266038,Bullish,8.542461267925901,-512394,63080.0,1,0,0,48.07336465486086,-0.16999999999999993
2026-01-20,Tuesday,weekly,█↓▁↑█↓▂ 📉,25580.3,25585.0,25171.35,25232.5,11.83,12.73,0.62,1.62,1.36,0.02,1.6,2.61,1.0,Underestimated,Top to Down,No,-1.94,-201567,-60114,309239,Neutral,Neutral,Bearish,Neutral,25232.5,-0.3,Bearish,,-193097,-28364,301966,Neutral,5.1442093355957015,-570920,27483.0,1,0,1,10.646100691016782,0.9000000000000004
2026-01-27,Tuesday,monthly,▄↓▁↑█↓▆ 📈,25063.35,25246.65,24932.55,25175.4,14.19,14.45,0.74,1.25,0.45,0.73,0.52,1.69,0.51,Underestimated,Down to Up,Yes,-0.23,-175625,-104758,342872,Neutral,Bullish,Bullish,Bearish,25175.400390625,0.66,Bullish,,-227533,-29006,340536,Bullish,3.272991084213139,-623255,33633.0,1,0,2,11.740191684479074,0.2599999999999998
2026-02-03,Tuesday,weekly,█↓▁↑█↓▂ 📉,26308.05,26341.2,25641.3,25727.55,13.87,12.9,0.73,2.66,2.21,0.13,2.53,3.66,1.93,Underestimated,Top to Down,No,1.52,-157452,-93770,291050,Bullish,Bullish,Bullish,Bearish,25727.55078125,0.19,Bullish,Correct,-197139,-174265,418965,Neutral,3.1038711741495146,-542272,-51822.0,1,1,3,2.4041832840788455,-0.9699999999999989
2026-02-10,Tuesday,weekly,▄↓▁↑█↓▅ 📈,25922.65,25989.45,25870.45,25935.15,12.19,11.67,0.64,0.46,0.05,0.26,0.2,0.72,-0.18,Overestimated,Down to Up,No,0.62,-133614,19747,259419,Bullish,Neutral,Neutral,Bearish,25935.150390625,0.07,Bullish,Correct,-145919,20560,293152,Bullish,13.137134754646276,-373286,-31631.0,0,1,1,14.258365758754865,-0.5199999999999996
2026-02-17,Tuesday,weekly,▃↓▁↑█↓▇ 📈,25637.95,25764.4,25570.3,25725.4,13.33,12.67,0.7,0.76,0.34,0.49,0.26,1.08,0.06,Overestimated,Down to Up,No,-0.88,-141258,29358,301378,Bullish,Bullish,Neutral,Bearish,25725.400390625,0.37,Bullish,Correct,-145138,35902,328328,Bullish,10.265617548879352,-413278,41959.0,0,1,2,9.145117263662192,-0.6600000000000001
2026-02-24,Tuesday,monthly,█↓▁↑█↓▃ 📉,25641.8,25641.8,25327.6,25424.65,14.17,14.15,0.74,1.23,0.85,0.0,1.23,1.65,0.48,Overestimated,Top to Down,No,-1.53,-106071,-60371,308272,Neutral,Bullish,Bearish,Neutral,25424.650390625,0.23,Bullish,,-129085,49883,333798,Neutral,5.106292756455915,-474714,6894.0,0,0,1,6.69161838702564,-0.019999999999999574
2026-03-02,Monday,weekly,▂↓▁↑█↓▆ 📈,24659.25,24989.35,24603.5,24865.7,13.7,17.13,0.72,1.56,0.84,1.34,0.23,2.18,0.85,Underestimated,Down to Up,No,-2.2,-144473,-59338,365136,Bullish,Bullish,Neutral,Bearish,24865.69921875,-1.55,Bearish,Incorrect,-124368,-85157,383150,Neutral,6.153493545451481,-568947,56864.0,1,0,1,4.499336519604965,3.4299999999999997
2026-03-10,Tuesday,weekly,▇↓▁↑█↓▇ 📉,24280.8,24303.8,24079.95,24261.6,23.36,18.91,1.22,0.92,0.08,0.09,0.83,0.75,-0.3,Overestimated,Top to Down,No,-0.89,-187070,-128883,416387,Bullish,Neutral,Neutral,Bearish,24261.599609375,-1.63,Bearish,Incorrect,-193902,-157826,395449,Bullish,3.2307364043357154,-732340,51251.0,0,0,1,2.505601105014383,-4.449999999999999
